ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12752543,2020 Toyota RAV4 GX (2WD) Mxaa52R,41888,Toyota,RAV4,GX (2WD),Mxaa52R,2020,62417,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12753831,2019 Toyota RAV4 GX AWD Hybrid Axah54R,54995,Toyota,RAV4,GX AWD Hybrid,Axah54R,2019,44773,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Red,5
12754768,2020 Toyota RAV4 Cruiser AWD Hybrid Axah54R,57000,Toyota,RAV4,Cruiser AWD Hybrid,Axah54R,2020,36000,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,pearl,5
12757349,2020 Toyota RAV4 GX 2WD Hybrid Axah52R,41987,Toyota,RAV4,GX 2WD Hybrid,Axah52R,2020,120826,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Silver,5
12757391,2017 Toyota RAV4 GX (4X4) ASA44R MY17,26450,Toyota,RAV4,GX (4X4),ASA44R MY17,2017,129059,Wagon,Automatic,Unleaded Petrol, Used,2494,Blue,5
12757442,2019 Toyota RAV4 GXL (2WD) Mxaa52R,42990,Toyota,RAV4,GXL (2WD),Mxaa52R,2019,47749,Wagon,Automatic,Unleaded Petrol, Used,1987,Black,5
12757444,2013 Toyota RAV4 GX (4X4) ALA49R,19990,Toyota,RAV4,GX (4X4),ALA49R,2013,170954,Wagon,Automatic,Diesel, Used,2231,Black,5
12757464,2005 Toyota RAV4 CV (4X4) ACA23R,7600,Toyota,RAV4,CV (4X4),ACA23R,2005,185646,Wagon,Automatic,Unleaded Petrol, Used,2362,Silver,5
12758772,2017 Toyota RAV4 GXL (2WD) ZSA42R MY17,29990,Toyota,RAV4,GXL (2WD),ZSA42R MY17,2017,124996,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12758838,2020 Toyota RAV4 GXL (2WD) Mxaa52R,44990,Toyota,RAV4,GXL (2WD),Mxaa52R,2020,14524,Wagon,Automatic,Unleaded Petrol, Used,1987,Black,5
12759966,2013 Toyota RAV4 GX (2WD) ZSA42R,18999,Toyota,RAV4,GX (2WD),ZSA42R,2013,134455,Wagon,Automatic,Unleaded Petrol, Used,1987,Silver,5
12760233,2018 Toyota RAV4 Cruiser (4X4) ASA44R MY18,41995,Toyota,RAV4,Cruiser (4X4),ASA44R MY18,2018,45483,Wagon,Automatic,Unleaded Petrol, Used,2494,Silver,5
12761894,2020 Toyota RAV4 Cruiser (awd) Hybrid Axah54R,63990,Toyota,RAV4,Cruiser (awd) Hybrid,Axah54R,2020,21931,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Black,5
12764145,2022 Toyota RAV4 GXL (2WD) Hybrid Axah52R,56988,Toyota,RAV4,GXL (2WD) Hybrid,Axah52R,2022,1470,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Black,5
12764723,2021 Toyota RAV4 GX (2WD) Hybrid Axah52R,52990,Toyota,RAV4,GX (2WD) Hybrid,Axah52R,2021,12191,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12765111,2020 Toyota RAV4 Cruiser 2WD Hybrid Axah52R,57250,Toyota,RAV4,Cruiser 2WD Hybrid,Axah52R,2020,25530,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Atomic,5
12766221,2021 Toyota RAV4 GX (2WD) Hybrid Axah52R,49913,Toyota,RAV4,GX (2WD) Hybrid,Axah52R,2021,47418,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12766570,2008 Toyota RAV4 CV (4X4) ACA33R,16990,Toyota,RAV4,CV (4X4),ACA33R,2008,78917,Wagon,Automatic,Unleaded Petrol, Used,2362,White,5
12766901,2020 Toyota RAV4 Cruiser AWD Hybrid Axah54R,57880,Toyota,RAV4,Cruiser AWD Hybrid,Axah54R,2020,49555,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Blue,5
12768073,2017 Toyota RAV4 Cruiser (4X4) ALA49R MY17,34500,Toyota,RAV4,Cruiser (4X4),ALA49R MY17,2017,118000,Wagon,Automatic,Diesel, Used,2231,Bronze,5
12768129,2021 Toyota RAV4 GXL (2WD) Mxaa52R,43990,Toyota,RAV4,GXL (2WD),Mxaa52R,2021,41250,Wagon,Automatic,Unleaded Petrol, Used,1987,Blue,5
12769663,2013 Toyota RAV4 GX (2WD) ZSA42R,21888,Toyota,RAV4,GX (2WD),ZSA42R,2013,60964,Wagon,Manual,Unleaded Petrol, Used,1987,Silver,5
12769826,2019 Toyota RAV4 GX (2WD) Mxaa52R,37990,Toyota,RAV4,GX (2WD),Mxaa52R,2019,65604,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
